YEAR,COUNTRY OF PRODUCTION,STATE,MUNICIPALITY,PORT,EXPORTER GROUP,IMPORTER,COUNTRY OF IMPORT,ECONOMIC BLOC,TYPE,SOY_EQUIVALENT_TONNES,SOY_DEFORESTATION_5_YEAR_ANNUAL_RISK_HECTARES
2017,BRAZIL,ACRE,CAPIXABA,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,BRAZIL,BRAZIL,Soy bean equivalents,9.30E-05,
2017,BRAZIL,ACRE,RIO BRANCO,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,BRAZIL,BRAZIL,Soy bean equivalents,0.000206769,
2017,BRAZIL,AMAPA,ITAUBAL,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,BRAZIL,BRAZIL,Soy bean equivalents,2.00E-09,
2017,BRAZIL,AMAPA,ITAUBAL,BARCARENA,FIAGRIL COMERCIO EXPORTACAO E ARMAZENS GERAIS LTDA,AGRILEX LIMITED,CHINA (MAINLAND),CHINA (MAINLAND),Soy bean equivalents,725.9650461,
2017,BRAZIL,AMAPA,ITAUBAL,SANTANA DO LIVRAMENTO,FIAGRIL COMERCIO EXPORTACAO E ARMAZENS GERAIS LTDA,AGRILEX LIMITED,ISRAEL,ISRAEL,Soy bean equivalents,4974.170633,
2017,BRAZIL,AMAPA,ITAUBAL,SANTANA DO LIVRAMENTO,FIAGRIL COMERCIO EXPORTACAO E ARMAZENS GERAIS LTDA,AGRILEX LIMITED,MEXICO,MEXICO,Soy bean equivalents,7435.862699,
2017,BRAZIL,AMAPA,MACAPA,BARCARENA,FIAGRIL COMERCIO EXPORTACAO E ARMAZENS GERAIS LTDA,AGRILEX LIMITED,CHINA (MAINLAND),CHINA (MAINLAND),Soy bean equivalents,2098.479154,
2017,BRAZIL,AMAPA,MACAPA,SANTANA DO LIVRAMENTO,FIAGRIL COMERCIO EXPORTACAO E ARMAZENS GERAIS LTDA,AGRILEX LIMITED,ISRAEL,ISRAEL,Soy bean equivalents,14378.36909,
2017,BRAZIL,AMAPA,MACAPA,SANTANA DO LIVRAMENTO,FIAGRIL COMERCIO EXPORTACAO E ARMAZENS GERAIS LTDA,AGRILEX LIMITED,MEXICO,MEXICO,Soy bean equivalents,21494.15175,
2017,BRAZIL,AMAPA,TARTARUGALZINHO,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,BRAZIL,BRAZIL,Soy bean equivalents,236.3319719,
2017,BRAZIL,AMAPA,TARTARUGALZINHO,BARCARENA,FIAGRIL COMERCIO EXPORTACAO E ARMAZENS GERAIS LTDA,AGRILEX LIMITED,CHINA (MAINLAND),CHINA (MAINLAND),Soy bean equivalents,168.9277997,
2017,BRAZIL,AMAPA,TARTARUGALZINHO,SANTANA DO LIVRAMENTO,FIAGRIL COMERCIO EXPORTACAO E ARMAZENS GERAIS LTDA,AGRILEX LIMITED,ISRAEL,ISRAEL,Soy bean equivalents,1157.460273,
2017,BRAZIL,AMAPA,TARTARUGALZINHO,SANTANA DO LIVRAMENTO,FIAGRIL COMERCIO EXPORTACAO E ARMAZENS GERAIS LTDA,AGRILEX LIMITED,MEXICO,MEXICO,Soy bean equivalents,1730.28155,
2017,BRAZIL,MARANHAO,ACAILANDIA,SANTOS,GUSA NORDESTE,AMAGGI,THAILAND,THAILAND,Soy bean equivalents,3729.634252,6.479302171
2017,BRAZIL,MARANHAO,ACAILANDIA,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,BRAZIL,BRAZIL,Soy bean equivalents,71870.39773,124.8567534
2017,BRAZIL,MARANHAO,BOM JARDIM,SAO LUIS,CARGILL,CARGILL AGRICOLA SA,CHINA (MAINLAND),CHINA (MAINLAND),Soy bean equivalents,12517.30679,137.5793213
2017,BRAZIL,MARANHAO,BOM JARDIM,SAO LUIS,CARGILL,CARGILL AGRICOLA SA,NETHERLANDS,EUROPEAN UNION,Soy bean equivalents,638.1701434,7.014209738
2017,BRAZIL,MARANHAO,BOM JARDIM,SAO LUIS,CARGILL,CARGILL AGRICOLA SA,SAUDI ARABIA,SAUDI ARABIA,Soy bean equivalents,1939.277077,21.3148426
2017,BRAZIL,MARANHAO,BOM JARDIM,SAO LUIS,CARGILL,CARGILL AGRICOLA SA,THAILAND,THAILAND,Soy bean equivalents,685.2472185,7.531639897
2017,BRAZIL,MARANHAO,BOM JESUS DAS SELVAS,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,BRAZIL,BRAZIL,Soy bean equivalents,0.006203077,5.02E-05
2017,BRAZIL,MARANHAO,BURITICUPU,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,DOMESTIC CONSUMPTION,BRAZIL,BRAZIL,Soy bean equivalents,0.052335591,0.0001806290095
